PON1,0.0834,0.0443,0.1135,0.3326,0.0998
C2orf3,1.5648,1.5978,1.5445,1.5514,1.5518
WDR54,2.6323,2.6651,2.8450,2.7552,2.4813
CROT,1.6415,1.8438,1.6005,1.5943,1.6683
ABCB4,0.0719,0.0359,0.0601,0.0181,0.0637
MLL5,3.6888,3.4781,3.5014,3.5538,3.8420
RHBDD2,6.4251,6.4425,6.7431,6.8031,5.6024
SOX8,3.9727,3.5044,3.7777,4.8013,3.3290
IBTK,2.9284,2.9933,2.9222,2.8825,2.9535
ZNF195,1.8669,2.1310,1.7846,1.8213,1.8439
MYCBP2,4.9202,4.6806,4.8353,4.9476,4.0168
FBXL3,4.1728,4.3516,4.0064,4.1027,4.1582
ITGAL,0.1629,0.2603,0.4251,0.4094,0.5644
PDK2,3.9558,4.1094,4.3135,4.2954,5.5569
ITGA3,1.5942,1.4384,1.6474,1.6644,2.6032
ZFX,1.7603,1.8253,1.7333,1.8928,2.2100
LAMP2,5.5173,5.2483,4.9945,5.9823,4.4323
GGNBP2,3.3598,3.2865,3.1961,3.2501,3.1853
ITGA2B,0.3017,0.3349,0.1904,0.3415,1.2747
ASB4,0.2331,0.2447,0.3262,0.5303,0.0267
GDE1,5.6158,5.7351,5.5878,5.6308,5.0119
C19orf60,4.0292,3.9346,4.2212,4.0598,5.3645
CRLF1,1.9177,2.1140,2.1786,2.2488,0.4985
OSBPL7,1.4470,1.3271,1.7895,1.7915,2.0684
TMEM98,3.8780,3.5407,3.3868,4.2778,3.7237
YBX2,0.1500,0.7239,0.2353,0.2575,0.0597
KRT33A,0.0041,0.0000,0.0000,0.0000,0.0000
MAP3K14,1.2239,1.2527,1.2240,1.1535,1.8966
ABCC8,2.2453,2.0259,2.2157,1.7733,3.6859
CCL18,0.0945,0.0000,0.0000,0.0704,0.0000
CCL3,0.9509,0.0875,0.5284,0.0000,1.0943
CACNG3,5.5109,5.5623,5.6757,5.2201,1.0897
TMEM132A,3.8217,3.5563,4.0463,4.1494,4.4689
AP2B1,6.6152,6.5729,6.6205,6.5458,6.2111
TAC1,4.0692,4.3191,3.7869,3.8888,0.6775
ZNF263,2.8275,2.7234,2.7522,2.7338,3.0728
CX3CL1,6.2154,6.1285,6.3582,5.9719,3.6456
SPATA20,2.1140,2.3102,2.5773,2.4036,3.7519
CACNA1G,2.7774,2.5990,2.8570,1.5694,4.9893
TNFRSF12A,0.1198,0.2424,0.3666,0.1738,0.9762
DLX6,0.6280,0.5523,0.7551,1.5227,0.0000
MAP3K9,2.7918,2.6804,2.8479,2.5737,2.7976
RALA,4.5050,4.5543,4.3728,4.4682,3.8153
BAIAP2L1,0.3872,0.1495,0.1723,0.2772,0.4668
JHDM1D,2.1393,2.0646,1.9398,1.8501,2.7493
ETV1,3.4551,3.5818,3.4157,3.7373,6.4005
AGK,2.9153,2.9647,2.8336,2.8763,2.8690
ALDH3B1,0.1550,0.0991,0.1526,0.2722,0.2596
TTC22,0.1424,0.1497,0.1997,0.1770,0.0000
PHTF2,1.8864,1.9213,1.8602,1.7636,1.5948
CCL26,0.0000,0.1809,0.1173,0.0000,0.0000
FARP2,1.5755,1.6101,1.6786,1.8868,2.6993
USH1C,0.4440,0.4633,0.3021,1.0334,0.3665
GGCT,4.1336,4.1370,4.0888,3.3747,2.7596
DBF4,0.7147,0.7712,0.6365,0.7509,0.6146
TBXA2R,0.2296,0.1496,0.2447,0.3275,0.2412
IFRD1,2.9041,2.9025,2.5960,2.7102,2.4935
LGALS14,0.0000,0.0000,0.0777,0.0000,0.0000
COX10,2.0423,2.2237,2.1484,2.0032,2.1771
GTF2IRD1,1.0911,0.8873,0.9888,1.0904,1.2605
PAF1,4.4571,4.3775,4.3639,4.5487,4.8219
VPS41,4.7930,4.8370,4.8006,4.4046,3.6016
ELAC2,2.7037,2.8285,2.8590,2.9097,3.0540
SCIN,0.4879,0.3870,0.4871,0.4483,0.8969
ARSD,0.6775,0.7376,0.7416,0.9606,1.1268
PNPLA4,2.0696,2.2155,2.2669,2.6716,2.1556
MYH13,0.0207,0.0707,0.1111,0.0000,0.0000
ADIPOR2,3.9613,3.7406,3.7421,4.5262,3.5614
CDKL3,3.8668,4.1920,3.8514,3.5292,3.7110
UPP2,0.9869,0.8702,1.1717,1.0085,0.4318
PRSS21,0.0000,0.0000,0.0713,0.0000,0.0000
MARK4,3.6488,3.5406,3.8091,3.6041,3.2288
PROM1,1.0488,1.1363,1.2357,0.9024,1.0285
CCDC124,4.9746,4.6807,5.0055,4.9676,5.4290
CEACAM21,1.2052,1.2045,0.9962,0.8334,0.5109
PAFAH1B1,6.9240,6.8954,6.7865,6.6798,6.3239
NOS2,1.5952,1.5376,1.5532,0.9036,0.1653
DNAH9,0.3109,0.3107,0.2718,0.8359,0.1483
KIAA0100,4.6359,4.6421,4.8990,4.8641,4.4792
SLC13A2,0.0000,0.0000,0.0000,0.0000,0.0000
