SLC25A13,1.9819,1.8524,1.9004,2.0737,1.9805,1.7640,1.7307,1.9960
ST7,2.1814,2.0389,2.0396,1.9920,2.3305,2.1243,2.0342,2.0558
CDC27,2.6376,2.5539,2.5123,2.6205,2.7109,2.7134,2.8385,2.5193
SLC4A1,0.1252,0.0198,0.0513,0.0000,0.0822,0.1177,0.0000,0.0684
CALCR,0.0481,0.0258,0.0444,0.0235,0.0000,0.0671,0.1009,0.0000
HCCS,2.5449,2.4161,2.3527,2.4056,2.6554,2.8499,2.8723,2.0921
DVL2,3.0007,3.0596,3.1990,3.0561,3.0344,2.7894,2.8120,3.0917
PRSS22,0.0697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UPF1,3.4583,3.9685,4.4107,4.2543,3.4953,3.3358,3.1437,4.3456
SKAP2,1.3831,1.1461,0.9621,1.1111,1.2880,1.4792,1.3728,1.0924
SLC25A5,8.1254,7.7274,7.5823,7.5480,8.1494,7.8627,7.9021,6.9316
CCDC109B,2.0316,1.4181,0.9510,0.8831,1.1182,1.5450,1.9121,1.0064
HOXA11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
POLR2J,4.8785,4.5149,4.3191,4.1124,4.7768,4.9366,4.7735,4.4731
DHX33,2.1485,2.2888,2.3393,2.4050,2.2694,2.0504,2.2593,2.2968
MEOX1,0.0000,0.0385,0.0000,0.0000,0.0000,0.0339,0.0513,0.0000
THSD7A,1.3984,1.6666,1.7575,1.7959,1.5512,1.3664,1.5171,1.5346
LIG3,1.4429,1.7269,1.7104,1.7297,1.5750,1.4718,1.5656,1.7732
RPAP3,1.7398,1.7569,1.8383,1.7286,1.7601,1.8050,1.9844,1.9957
ACSM3,0.4035,0.2986,0.3859,0.5373,0.4917,0.6421,0.5561,0.2952
AC004381.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CIAPIN1,4.2575,4.1375,3.6424,3.7219,4.0986,4.0751,4.2262,3.6407
AC004410.1,3.3089,3.7309,4.1524,3.9203,3.4952,3.5086,3.2784,4.0489
KIAA1539,2.7886,2.8194,3.0764,3.0765,2.8780,2.7774,2.6863,2.7435
COPZ2,3.0337,2.5533,2.2121,2.6917,3.3694,2.8970,2.8766,2.6349
PRKAR2B,3.4992,3.3634,3.0595,3.0522,3.1713,4.0670,4.3665,2.8859
MSL3,2.5100,2.0917,1.9432,1.8849,2.3935,2.4379,2.4008,1.8619
CREBBP,3.0000,3.2725,3.4754,3.3419,2.9491,2.9643,2.8986,3.5468
BZRAP1,4.8348,5.2144,5.3467,4.8291,4.7147,5.2913,5.4709,5.5268
MPO,0.5609,0.3979,0.3527,0.3340,0.5302,0.2792,0.4057,0.2720
PON1,0.2247,0.2269,0.2791,0.5641,0.3709,0.3947,0.6545,0.3641
C2orf3,1.5557,1.5577,1.6524,1.5036,1.6707,1.8666,1.8849,1.5222
WDR54,2.8413,2.9381,2.5477,2.2689,2.5791,2.9881,3.3427,3.1897
CROT,1.7409,1.7815,1.7586,1.7723,1.9226,1.8096,1.9493,1.6867
ABCB4,0.2953,0.5134,0.4067,0.3004,0.3236,0.2768,0.2275,0.5076
MLL5,3.0021,3.3766,3.4774,3.5214,3.1245,3.1045,3.1146,3.6435
RHBDD2,5.9779,6.3520,6.3504,6.1206,5.9790,5.8018,6.0070,6.3997
SOX8,5.2406,5.6252,5.8191,5.6983,5.1762,5.5428,4.7662,6.4059
IBTK,2.1779,2.1294,2.2519,2.3200,2.2639,2.2372,2.3340,2.2280
