PRSS22,0.0624,0.0000,0.0000,0.2698,0.0000,0.1557,3.8397
UPF1,1.9649,1.7761,1.7671,2.6406,2.6766,3.1525,3.9211
SKAP2,1.6768,2.5172,2.7792,2.5365,1.5584,2.5013,0.5563
SLC25A5,7.4972,7.3264,7.8778,7.3277,7.5661,7.7857,8.0939
CCDC109B,1.8016,1.5152,2.3248,1.9585,1.3256,2.2104,0.2790
HOXA11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
POLR2J,5.3837,3.9367,5.2255,5.3395,4.7684,4.6786,4.9281
DHX33,1.2189,1.6834,1.7399,1.8182,1.7216,1.9713,1.9779
MEOX1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
THSD7A,0.4691,0.9740,1.1700,0.4733,0.9585,1.6718,0.5330
LIG3,0.9484,0.9285,0.9300,1.1380,1.2573,1.3441,1.7155
RPAP3,1.4049,1.8033,1.9307,1.6139,1.8801,2.5895,2.2107
ACSM3,0.6348,0.8568,1.0026,0.6428,0.8879,0.6167,0.7020
AC004381.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CIAPIN1,4.8825,4.3283,4.8527,4.5995,4.4339,4.9992,5.1486
AC004410.1,1.9189,1.3813,1.5022,2.5936,2.4055,2.5981,3.4571
KIAA1539,1.8356,1.7205,1.9021,2.1494,2.2661,2.5851,1.9249
COPZ2,3.0603,2.3473,3.2804,3.2638,2.8775,2.5205,3.2573
PRKAR2B,3.6999,4.5805,4.9581,4.2992,5.0529,4.5594,3.0470
MSL3,2.6689,2.8314,3.3660,2.9019,2.5065,2.5494,2.9057
CREBBP,1.4718,1.8316,2.4234,1.9823,1.7352,2.1238,2.6161
BZRAP1,2.8376,3.3089,3.5024,3.7630,3.1162,2.7924,2.5602
MPO,0.3947,0.4496,0.2828,0.4278,0.3880,0.4767,0.4358
PON1,0.1406,0.1283,0.1806,0.4533,0.1382,0.2119,0.2564
C2orf3,1.0738,1.3245,1.8345,1.4030,1.4747,1.3232,1.4769
WDR54,3.5636,2.9922,3.2375,3.7159,3.1575,3.3850,3.0924
CROT,1.3375,1.2890,1.5391,1.5259,1.5205,1.6241,1.7846
ABCB4,0.1131,0.0179,0.0115,0.0430,0.0452,0.1146,0.0564
MLL5,1.9531,2.0925,2.5989,2.2286,2.2196,2.4724,2.7488
RHBDD2,7.0085,6.4486,6.4982,7.1483,7.0842,6.9735,5.9591
SOX8,3.9956,3.6712,3.8658,4.5658,5.1872,4.4758,3.5786
IBTK,1.1431,1.8182,2.0523,1.6881,1.9304,1.9552,2.0465
ZNF195,1.3911,1.7489,2.0698,1.6437,1.8407,2.1341,2.0673
MYCBP2,1.8856,2.3400,2.5836,2.3838,2.0868,2.7549,2.0925
FBXL3,2.7918,3.5061,3.8682,3.2817,3.3848,3.7724,3.9127
ITGAL,0.1294,0.2809,0.1884,0.2091,0.1642,0.2657,0.3210
PDK2,3.8999,3.5601,3.7889,4.2631,4.2704,4.0352,5.5852
ITGA3,1.0401,0.9266,0.8481,1.5528,1.2684,2.1798,2.3202
ZFX,0.5099,0.8997,0.9783,0.9074,1.0333,1.0703,1.6111
LAMP2,3.6148,4.1723,4.6433,4.2193,5.1975,4.6580,3.6894
GGNBP2,1.9044,2.6340,2.5949,2.5474,2.6885,3.0937,2.8804
ITGA2B,0.3460,0.1130,0.1144,0.2767,0.0786,0.1095,1.3472
ASB4,0.0750,0.2423,0.1598,0.1698,0.1436,0.0678,0.0415
GDE1,5.3563,5.4420,5.8087,5.6328,5.9388,5.9300,5.4292
C19orf60,6.6695,5.2378,6.4534,6.5451,5.4948,5.5445,6.5663
CRLF1,2.5105,2.0598,2.5033,3.0562,2.6418,0.3438,0.6364
OSBPL7,0.9638,0.8232,0.7968,1.4862,1.3310,1.5273,1.6622
TMEM98,3.5806,3.3603,3.9813,4.3440,4.6683,4.0441,4.7094
YBX2,0.4461,0.2439,0.5223,0.1707,0.0830,0.0829,0.0000
KRT33A,0.0000,0.0957,0.1280,0.1979,0.0000,0.0000,0.0825
MAP3K14,1.0152,0.9408,1.0797,1.1548,1.8073,1.3829,2.1789
ABCC8,1.0637,1.0502,1.1249,1.5409,1.2344,1.1967,3.0187
CCL18,0.1879,0.0000,0.2399,0.0000,0.0000,0.0000,0.0000
CCL3,0.3183,0.1694,0.1633,0.1184,0.3112,0.3995,0.2024
CACNG3,5.3828,5.1285,5.3175,5.1961,5.1155,2.2492,0.9491
TMEM132A,3.9695,3.3433,3.5548,4.1581,3.4448,4.3611,4.2536
AP2B1,4.8878,5.2154,5.1067,5.5111,5.5336,6.1726,5.5306
TAC1,4.7881,4.8639,6.1810,5.4763,8.1055,1.6009,0.9423
ZNF263,2.3826,2.5097,2.6515,2.6120,2.5991,2.7001,3.2175
CX3CL1,5.7900,5.3986,5.5659,5.6271,6.1862,5.8921,3.1217
SPATA20,2.7932,2.6956,2.7869,3.3935,2.9127,4.3586,4.2561
CACNA1G,1.3477,1.4334,1.3800,1.5107,0.8685,3.9249,3.6919
