KLHL13,1.5233,1.7084,1.9667,1.7646,1.3736,1.4096,1.4455,1.5099,1.6600,1.7585,1.3667,2.6903,2.3158,4.1154,4.0254,2.4414
CYP26B1,3.7503,3.6439,3.0030,3.8123,3.2216,4.0943,3.8921,4.2128,3.9651,4.1106,3.6831,2.9693,4.7245,1.9519,1.5962,6.8041
ICA1,3.0589,2.9323,2.5673,2.8182,2.7143,2.9836,3.2608,2.9176,2.9931,3.0980,3.2457,2.7795,2.6066,3.0949,3.4897,3.1405
DBNDD1,5.4122,5.0172,4.5743,5.1403,5.1889,5.1514,5.1098,4.9412,4.9844,4.8870,5.0425,4.2120,4.3525,3.3060,6.2484,4.6866
ALS2,3.0900,3.1487,2.8806,2.8798,2.8137,3.1125,3.2385,3.0373,3.1422,3.1552,3.3007,2.7813,2.7578,2.4460,2.5971,5.1442
CASP10,0.7032,0.6262,0.7675,0.6820,0.6316,0.6249,0.6385,0.7112,0.6038,0.6631,0.5574,0.7004,0.5266,0.5921,0.6295,0.6974
CFLAR,1.1220,1.1801,1.2414,1.1432,0.9179,0.9589,0.9623,1.0683,1.1322,1.1437,1.0028,1.5016,1.3353,1.0897,1.0025,1.9901
TFPI,0.2734,0.3636,0.3553,0.3258,0.2443,0.2200,0.2957,0.2679,0.3782,0.3674,0.2785,0.4059,0.3114,0.4486,0.2931,0.4822
C2orf56,2.0974,2.1134,1.8294,2.0306,1.8277,1.8983,2.2122,1.9663,2.0483,2.1564,2.2111,2.5972,2.0033,1.9686,2.4765,1.9984
RBM5,3.0883,3.0018,2.9972,3.1196,2.7863,2.9065,3.0971,2.9612,3.0544,3.1239,3.0255,2.9204,3.0005,2.9403,2.8256,3.5249
MTMR7,3.0631,3.3025,3.1833,2.9642,2.8042,3.0964,3.3119,3.2294,3.3069,3.2519,3.2448,3.4106,3.0300,3.0272,4.1637,2.9724
SLC7A2,0.5956,0.5905,0.9619,0.9240,0.5622,0.5286,0.6080,0.5066,0.7477,0.8967,0.4774,0.9667,0.9517,0.7030,1.2746,0.5639
ARF5,6.5983,6.2360,6.0317,6.6355,6.2060,6.3972,6.4350,6.2292,6.2105,6.3159,6.3500,6.0618,6.2473,6.2373,6.1890,6.4947
SARM1,3.3882,3.1710,3.2909,3.3202,3.2047,3.1547,3.0317,3.1023,3.2429,3.2152,3.0920,3.2958,3.2166,3.0860,3.1961,3.5887
